"","species","logFC","p_value","logP"
"2337","Limosilactobacillus pontis",0.371367009264791,0.889293034869361,0.050955109157009
"2338","Limosilactobacillus panis",-0.871594909120276,0.36953946034944,0.432339179740075
"2339","Limosilactobacillus mucosae",2.59951131683848,0.721812507303399,0.141575596915208
"2340","Loigolactobacillus coryniformis",1.18429948761015,0.155869148153981,0.80723983806603
"2341","Liquorilactobacillus mali",-0.179054144233914,0.871316636150277,0.0598239938515083
"2342","Liquorilactobacillus hordei",0.256875425548618,0.864536012992371,0.0632169111024879
"2343","Secundilactobacillus paracollinoides",-0.21564659021013,0.903650222189495,0.0439996402863647
"2344","Secundilactobacillus malefermentans",-0.203145608019482,0.905733270781516,0.0429996787942494
"2345","Schleiferilactobacillus harbinensis",-0.143405665485812,0.874151252073197,0.0584134160411887
"2346","Jeotgalibaca sp. MA1X17-3",-0.520171177922257,0.78214350689599,0.106713555718798
"2347","Jeotgalibaca ciconiae",-0.191602152159104,0.907863133579945,0.0419796193327426
"2348","Carnobacterium divergens",-0.515733137054851,0.722338301971554,0.141259356074408
"2349","Carnobacterium maltaromaticum",-0.575673673139286,0.705076433400437,0.151763801016038
"2350","Carnobacterium sp. 17-4",-0.397485568870902,0.748031840193232,0.126079915870937
"2351","Carnobacterium inhibens",0.276128411990515,0.883127242502248,0.0539767180131801
"2352","Granulicatella elegans",0.425049680785248,0.490089412981663,0.309724679110112
"2353","Granulicatella adiacens",-0.0174519917592567,0.99471103647712,0.00230306346520759
"2354","Dolosigranulum pigrum",0.144682954475304,0.906967412293746,0.0424083170361081
"2355","Enterococcus avium",-0.561329637679878,0.802653193014061,0.0954720623108987
"2356","Enterococcus faecalis",-0.919398022796432,0.468252002827203,0.329520356366089
"2357","Enterococcus faecium",0.310871281801539,0.9018421772467,0.0448694575222788
"2358","Enterococcus gallinarum",-0.277690222647554,0.916463094224361,0.0378850192968848
"2359","Enterococcus hirae",-3.82977108818998,0.278946451563157,0.554479158814796
"2360","Enterococcus saigonensis",-0.655815740914593,0.775331614375885,0.110512507183504
"2361","Enterococcus sp. CR-Ec1",-0.958199674108343,0.702015223335063,0.153653470008758
"2362","Enterococcus casseliflavus",-1.93945522941391,0.683099386858634,0.165516104482251
"2363","Enterococcus raffinosus",-1.52897943960324,0.683099386858634,0.165516104482251
